HTL_CD,STY_DT,CURR_CD,RM_NTS,RM_REV_AMT_LOC,REGION,COUNTRY,RMS_AVAIL,EXCH_RATE_AMT,CAL_DOW,CONVERTED_REV,OCCUPANCY,ADR,REV_PAR,YEAR,MONTH,YEAR_MONTH
EXIUS,2019-01-01T00:00:00Z,USD,13,1614.09,AMERICAS,UNITED STATES,68,1.0,3,1614.09,19.12,124.16,23.74,2019,1,2019-1
EXIUS,2019-01-02T00:00:00Z,USD,32,3798.64,AMERICAS,UNITED STATES,68,1.0,4,3798.64,47.06,118.71,55.86,2019,1,2019-1
EXIUS,2019-01-03T00:00:00Z,USD,27,3001.06,AMERICAS,UNITED STATES,68,1.0,5,3001.06,39.71,111.15,44.13,2019,1,2019-1
EXIUS,2019-01-04T00:00:00Z,USD,21,2408.18,AMERICAS,UNITED STATES,68,1.0,6,2408.18,30.88,114.68,35.41,2019,1,2019-1
EXIUS,2019-01-05T00:00:00Z,USD,25,2832.58,AMERICAS,UNITED STATES,68,1.0,7,2832.58,36.76,113.3,41.66,2019,1,2019-1
EXIUS,2019-01-06T00:00:00Z,USD,22,2894.12,AMERICAS,UNITED STATES,68,1.0,1,2894.12,32.35,131.55,42.56,2019,1,2019-1
EXIUS,2019-01-07T00:00:00Z,USD,46,5363.84,AMERICAS,UNITED STATES,68,1.0,2,5363.84,67.65,116.61,78.88,2019,1,2019-1
EXIUS,2019-01-08T00:00:00Z,USD,56,6672.1,AMERICAS,UNITED STATES,68,1.0,3,6672.1,82.35,119.14,98.12,2019,1,2019-1
EXIUS,2019-01-09T00:00:00Z,USD,50,5911.03,AMERICAS,UNITED STATES,68,1.0,4,5911.03,73.53,118.22,86.93,2019,1,2019-1
EXIUS,2019-01-10T00:00:00Z,USD,37,3890.29,AMERICAS,UNITED STATES,68,1.0,5,3890.29,54.41,105.14,57.21,2019,1,2019-1
