HTL_CD,STY_DT,CURR_CD,RM_NTS,RM_REV_AMT_LOC,REGION,COUNTRY,RMS_AVAIL,EXCH_RATE_AMT,CAL_DOW,CONVERTED_REV,OCCUPANCY,ADR,REV_PAR,YEAR,MONTH,YEAR_MONTH
GCBJN,2019-01-01T00:00:00Z,CNY,283,128390.15,GREATER CHINA,CHINA-PEOPLES REPUBLIC,600,6.541252,3,19627.76,47.17,69.36,32.71,2019,1,2019-1
GCBJN,2019-01-02T00:00:00Z,CNY,293,149840.91,GREATER CHINA,CHINA-PEOPLES REPUBLIC,600,6.541252,4,22907.07,48.83,78.18,38.18,2019,1,2019-1
GCBJN,2019-01-03T00:00:00Z,CNY,372,196829.18,GREATER CHINA,CHINA-PEOPLES REPUBLIC,600,6.541252,5,30090.44,62.0,80.89,50.15,2019,1,2019-1
GCBJN,2019-01-04T00:00:00Z,CNY,473,260086.82,GREATER CHINA,CHINA-PEOPLES REPUBLIC,600,6.541252,6,39761.02,78.83,84.06,66.27,2019,1,2019-1
GCBJN,2019-01-05T00:00:00Z,CNY,438,244708.67,GREATER CHINA,CHINA-PEOPLES REPUBLIC,600,6.541252,7,37410.07,73.0,85.41,62.35,2019,1,2019-1
GCBJN,2019-01-06T00:00:00Z,CNY,535,290600.55,GREATER CHINA,CHINA-PEOPLES REPUBLIC,600,6.541252,1,44425.83,89.17,83.04,74.04,2019,1,2019-1
GCBJN,2019-01-07T00:00:00Z,CNY,561,322029.96,GREATER CHINA,CHINA-PEOPLES REPUBLIC,600,6.541252,2,49230.63,93.5,87.76,82.05,2019,1,2019-1
GCBJN,2019-01-08T00:00:00Z,CNY,556,313040.8,GREATER CHINA,CHINA-PEOPLES REPUBLIC,600,6.541252,3,47856.4,92.67,86.07,79.76,2019,1,2019-1
GCBJN,2019-01-09T00:00:00Z,CNY,575,314067.42,GREATER CHINA,CHINA-PEOPLES REPUBLIC,600,6.541252,4,48013.35,95.83,83.5,80.02,2019,1,2019-1
GCBJN,2019-01-10T00:00:00Z,CNY,559,324676.62,GREATER CHINA,CHINA-PEOPLES REPUBLIC,600,6.541252,5,49635.24,93.17,88.79,82.73,2019,1,2019-1
GCBJN,2019-01-11T00:00:00Z,CNY,488,294590.95,GREATER CHINA,CHINA-PEOPLES REPUBLIC,600,6.541252,6,45035.87,81.33,92.29,75.06,2019,1,2019-1
GCBJN,2019-01-12T00:00:00Z,CNY,433,239317.48,GREATER CHINA,CHINA-PEOPLES REPUBLIC,600,6.541252,7,36585.88,72.17,84.49,60.98,2019,1,2019-1
GCBJN,2019-01-13T00:00:00Z,CNY,462,259201.72,GREATER CHINA,CHINA-PEOPLES REPUBLIC,600,6.541252,1,39625.7,77.0,85.77,66.04,2019,1,2019-1
GCBJN,2019-01-14T00:00:00Z,CNY,551,317832.81,GREATER CHINA,CHINA-PEOPLES REPUBLIC,600,6.541252,2,48588.99,91.83,88.18,80.98,2019,1,2019-1
GCBJN,2019-01-15T00:00:00Z,CNY,589,393853.68,GREATER CHINA,CHINA-PEOPLES REPUBLIC,600,6.541252,3,60210.75,98.17,102.23,100.35,2019,1,2019-1
GCBJN,2019-01-16T00:00:00Z,CNY,605,408942.33,GREATER CHINA,CHINA-PEOPLES REPUBLIC,600,6.541252,4,62517.44,100.83,103.33,104.2,2019,1,2019-1
GCBJN,2019-01-17T00:00:00Z,CNY,599,399625.22,GREATER CHINA,CHINA-PEOPLES REPUBLIC,600,6.541252,5,61093.08,99.83,101.99,101.82,2019,1,2019-1
GCBJN,2019-01-18T00:00:00Z,CNY,575,363720.86,GREATER CHINA,CHINA-PEOPLES REPUBLIC,600,6.541252,6,55604.17,95.83,96.7,92.67,2019,1,2019-1
GCBJN,2019-01-19T00:00:00Z,CNY,496,287382.24,GREATER CHINA,CHINA-PEOPLES REPUBLIC,600,6.541252,7,43933.83,82.67,88.58,73.22,2019,1,2019-1
GCBJN,2019-01-20T00:00:00Z,CNY,476,247570.64,GREATER CHINA,CHINA-PEOPLES REPUBLIC,600,6.541252,1,37847.59,79.33,79.51,63.08,2019,1,2019-1
GCBJN,2019-01-21T00:00:00Z,CNY,540,289180.51,GREATER CHINA,CHINA-PEOPLES REPUBLIC,600,6.541252,2,44208.74,90.0,81.87,73.68,2019,1,2019-1
GCBJN,2019-01-22T00:00:00Z,CNY,536,284699.46,GREATER CHINA,CHINA-PEOPLES REPUBLIC,600,6.541252,3,43523.7,89.33,81.2,72.54,2019,1,2019-1
GCBJN,2019-01-23T00:00:00Z,CNY,599,336942.47,GREATER CHINA,CHINA-PEOPLES REPUBLIC,600,6.541252,4,51510.39,99.83,85.99,85.85,2019,1,2019-1
GCBJN,2019-01-24T00:00:00Z,CNY,599,381267.12,GREATER CHINA,CHINA-PEOPLES REPUBLIC,600,6.541252,5,58286.57,99.83,97.31,97.14,2019,1,2019-1
