HTL_CD,STY_DT,CURR_CD,RM_NTS,RM_REV_AMT_LOC,REGION,COUNTRY,RMS_AVAIL,EXCH_RATE_AMT,CAL_DOW,CONVERTED_REV,OCCUPANCY,ADR,REV_PAR,YEAR,MONTH,YEAR_MONTH
ICWAS,2019-01-01T00:00:00Z,USD,136,33792.92,AMERICAS,UNITED STATES,335,1.0,3,33792.92,40.6,248.48,100.87,2019,1,2019-1
ICWAS,2019-01-02T00:00:00Z,USD,205,53169.28,AMERICAS,UNITED STATES,335,1.0,4,53169.28,61.19,259.36,158.71,2019,1,2019-1
ICWAS,2019-01-03T00:00:00Z,USD,207,51683.9,AMERICAS,UNITED STATES,335,1.0,5,51683.9,61.79,249.68,154.28,2019,1,2019-1
ICWAS,2019-01-04T00:00:00Z,USD,154,37569.35,AMERICAS,UNITED STATES,335,1.0,6,37569.35,45.97,243.96,112.15,2019,1,2019-1
ICWAS,2019-01-05T00:00:00Z,USD,137,32723.77,AMERICAS,UNITED STATES,335,1.0,7,32723.77,40.9,238.86,97.68,2019,1,2019-1
ICWAS,2019-01-06T00:00:00Z,USD,98,23955.36,AMERICAS,UNITED STATES,335,1.0,1,23955.36,29.25,244.44,71.51,2019,1,2019-1
ICWAS,2019-01-07T00:00:00Z,USD,100,29546.25,AMERICAS,UNITED STATES,335,1.0,2,29546.25,29.85,295.46,88.2,2019,1,2019-1
ICWAS,2019-01-08T00:00:00Z,USD,162,50005.73,AMERICAS,UNITED STATES,335,1.0,3,50005.73,48.36,308.68,149.27,2019,1,2019-1
ICWAS,2019-01-09T00:00:00Z,USD,212,64257.2,AMERICAS,UNITED STATES,335,1.0,4,64257.2,63.28,303.1,191.81,2019,1,2019-1
ICWAS,2019-01-10T00:00:00Z,USD,189,44176.6,AMERICAS,UNITED STATES,335,1.0,5,44176.6,56.42,233.74,131.87,2019,1,2019-1
ICWAS,2019-01-11T00:00:00Z,USD,181,32449.54,AMERICAS,UNITED STATES,335,1.0,6,32449.54,54.03,179.28,96.86,2019,1,2019-1
ICWAS,2019-01-12T00:00:00Z,USD,235,44060.41,AMERICAS,UNITED STATES,335,1.0,7,44060.41,70.15,187.49,131.52,2019,1,2019-1
ICWAS,2019-01-13T00:00:00Z,USD,146,36512.14,AMERICAS,UNITED STATES,335,1.0,1,36512.14,43.58,250.08,108.99,2019,1,2019-1
ICWAS,2019-01-14T00:00:00Z,USD,219,68571.89,AMERICAS,UNITED STATES,335,1.0,2,68571.89,65.37,313.11,204.69,2019,1,2019-1
ICWAS,2019-01-15T00:00:00Z,USD,242,80481.45,AMERICAS,UNITED STATES,335,1.0,3,80481.45,72.24,332.57,240.24,2019,1,2019-1
ICWAS,2019-01-16T00:00:00Z,USD,238,77801.86,AMERICAS,UNITED STATES,335,1.0,4,77801.86,71.04,326.9,232.24,2019,1,2019-1
ICWAS,2019-01-17T00:00:00Z,USD,194,58158.16,AMERICAS,UNITED STATES,335,1.0,5,58158.16,57.91,299.78,173.61,2019,1,2019-1
ICWAS,2019-01-18T00:00:00Z,USD,194,58607.4,AMERICAS,UNITED STATES,335,1.0,6,58607.4,57.91,302.1,174.95,2019,1,2019-1
ICWAS,2019-01-19T00:00:00Z,USD,183,51324.08,AMERICAS,UNITED STATES,335,1.0,7,51324.08,54.63,280.46,153.21,2019,1,2019-1
ICWAS,2019-01-20T00:00:00Z,USD,138,31112.74,AMERICAS,UNITED STATES,335,1.0,1,31112.74,41.19,225.45,92.87,2019,1,2019-1
ICWAS,2019-01-21T00:00:00Z,USD,134,28590.65,AMERICAS,UNITED STATES,335,1.0,2,28590.65,40.0,213.36,85.35,2019,1,2019-1
ICWAS,2019-01-22T00:00:00Z,USD,199,64251.76,AMERICAS,UNITED STATES,335,1.0,3,64251.76,59.4,322.87,191.8,2019,1,2019-1
ICWAS,2019-01-23T00:00:00Z,USD,218,74867.17,AMERICAS,UNITED STATES,335,1.0,4,74867.17,65.07,343.43,223.48,2019,1,2019-1
ICWAS,2019-01-24T00:00:00Z,USD,224,63440.36,AMERICAS,UNITED STATES,335,1.0,5,63440.36,66.87,283.22,189.37,2019,1,2019-1
ICWAS,2019-01-25T00:00:00Z,USD,193,42051.01,AMERICAS,UNITED STATES,335,1.0,6,42051.01,57.61,217.88,125.53,2019,1,2019-1
ICWAS,2019-01-26T00:00:00Z,USD,221,51454.91,AMERICAS,UNITED STATES,335,1.0,7,51454.91,65.97,232.83,153.6,2019,1,2019-1
ICWAS,2019-01-27T00:00:00Z,USD,171,52656.0,AMERICAS,UNITED STATES,335,1.0,1,52656.0,51.04,307.93,157.18,2019,1,2019-1
ICWAS,2019-01-28T00:00:00Z,USD,265,93181.53,AMERICAS,UNITED STATES,335,1.0,2,93181.53,79.1,351.63,278.15,2019,1,2019-1
ICWAS,2019-01-29T00:00:00Z,USD,321,115927.88,AMERICAS,UNITED STATES,335,1.0,3,115927.88,95.82,361.15,346.05,2019,1,2019-1
ICWAS,2019-01-30T00:00:00Z,USD,318,113852.18,AMERICAS,UNITED STATES,335,1.0,4,113852.18,94.93,358.03,339.86,2019,1,2019-1
ICWAS,2019-01-31T00:00:00Z,USD,282,93412.77,AMERICAS,UNITED STATES,335,1.0,5,93412.77,84.18,331.25,278.84,2019,1,2019-1
ICWAS,2019-02-01T00:00:00Z,USD,192,43002.65,AMERICAS,UNITED STATES,335,1.0,6,43002.65,57.31,223.97,128.37,2019,2,2019-2
ICWAS,2019-02-02T00:00:00Z,USD,218,50007.83,AMERICAS,UNITED STATES,335,1.0,7,50007.83,65.07,229.39,149.28,2019,2,2019-2
ICWAS,2019-02-03T00:00:00Z,USD,123,31891.75,AMERICAS,UNITED STATES,335,1.0,1,31891.75,36.72,259.28,95.2,2019,2,2019-2
ICWAS,2019-02-04T00:00:00Z,USD,218,71789.23,AMERICAS,UNITED STATES,335,1.0,2,71789.23,65.07,329.31,214.3,2019,2,2019-2
ICWAS,2019-02-05T00:00:00Z,USD,299,102037.33,AMERICAS,UNITED STATES,335,1.0,3,102037.33,89.25,341.26,304.59,2019,2,2019-2
ICWAS,2019-02-06T00:00:00Z,USD,322,111684.16,AMERICAS,UNITED STATES,335,1.0,4,111684.16,96.12,346.85,333.39,2019,2,2019-2
ICWAS,2019-02-07T00:00:00Z,USD,310,96279.55,AMERICAS,UNITED STATES,335,1.0,5,96279.55,92.54,310.58,287.4,2019,2,2019-2
ICWAS,2019-02-08T00:00:00Z,USD,235,57556.24,AMERICAS,UNITED STATES,335,1.0,6,57556.24,70.15,244.92,171.81,2019,2,2019-2
ICWAS,2019-02-09T00:00:00Z,USD,210,44181.01,AMERICAS,UNITED STATES,335,1.0,7,44181.01,62.69,210.39,131.88,2019,2,2019-2
