HTL_CD,STY_DT,CURR_CD,RM_NTS,RM_REV_AMT_LOC,REGION,COUNTRY,RMS_AVAIL,EXCH_RATE_AMT,CAL_DOW,CONVERTED_REV,OCCUPANCY,ADR,REV_PAR,YEAR,MONTH,YEAR_MONTH
PHEGA,2019-01-01 00:00:00+00:00,PHP,196,1175982.03,"EUROPE, MIDDLE EAST, ASIA & AFRICA",PHILIPPINES,348,48.068047,3,24464.94,56.32,124.82,70.3,2019,01,2019-01
PHEGA,2019-01-02 00:00:00+00:00,PHP,168,967607.07,"EUROPE, MIDDLE EAST, ASIA & AFRICA",PHILIPPINES,348,48.068047,4,20129.94,48.28,119.82,57.84,2019,01,2019-01
PHEGA,2019-01-03 00:00:00+00:00,PHP,167,942676.74,"EUROPE, MIDDLE EAST, ASIA & AFRICA",PHILIPPINES,348,48.068047,5,19611.3,47.99,117.43,56.35,2019,01,2019-01
PHEGA,2019-01-04 00:00:00+00:00,PHP,158,831695.84,"EUROPE, MIDDLE EAST, ASIA & AFRICA",PHILIPPINES,348,48.068047,6,17302.47,45.4,109.51,49.72,2019,01,2019-01
PHEGA,2019-01-05 00:00:00+00:00,PHP,191,948210.42,"EUROPE, MIDDLE EAST, ASIA & AFRICA",PHILIPPINES,348,48.068047,7,19726.42,54.89,103.28,56.69,2019,01,2019-01
PHEGA,2019-01-06 00:00:00+00:00,PHP,223,1216150.82,"EUROPE, MIDDLE EAST, ASIA & AFRICA",PHILIPPINES,348,48.068047,1,25300.61,64.08,113.46,72.7,2019,01,2019-01
PHEGA,2019-01-07 00:00:00+00:00,PHP,261,1542199.13,"EUROPE, MIDDLE EAST, ASIA & AFRICA",PHILIPPINES,348,48.068047,2,32083.67,75.0,122.93,92.19,2019,01,2019-01
PHEGA,2019-01-08 00:00:00+00:00,PHP,267,1603058.43,"EUROPE, MIDDLE EAST, ASIA & AFRICA",PHILIPPINES,348,48.068047,3,33349.77,76.72,124.91,95.83,2019,01,2019-01
PHEGA,2019-01-09 00:00:00+00:00,PHP,262,1604074.57,"EUROPE, MIDDLE EAST, ASIA & AFRICA",PHILIPPINES,348,48.068047,4,33370.91,75.29,127.37,95.89,2019,01,2019-01
PHEGA,2019-01-10 00:00:00+00:00,PHP,263,1562273.58,"EUROPE, MIDDLE EAST, ASIA & AFRICA",PHILIPPINES,348,48.068047,5,32501.29,75.57,123.58,93.39,2019,01,2019-01
PHEGA,2019-01-11 00:00:00+00:00,PHP,222,1229462.48,"EUROPE, MIDDLE EAST, ASIA & AFRICA",PHILIPPINES,348,48.068047,6,25577.54,63.79,115.21,73.5,2019,01,2019-01
PHEGA,2019-01-12 00:00:00+00:00,PHP,216,1185466.98,"EUROPE, MIDDLE EAST, ASIA & AFRICA",PHILIPPINES,348,48.068047,7,24662.27,62.07,114.18,70.87,2019,01,2019-01
PHEGA,2019-01-13 00:00:00+00:00,PHP,249,1433011.41,"EUROPE, MIDDLE EAST, ASIA & AFRICA",PHILIPPINES,348,48.068047,1,29812.14,71.55,119.73,85.67,2019,01,2019-01
PHEGA,2019-01-14 00:00:00+00:00,PHP,307,1942941.62,"EUROPE, MIDDLE EAST, ASIA & AFRICA",PHILIPPINES,348,48.068047,2,40420.65,88.22,131.66,116.15,2019,01,2019-01
PHEGA,2019-01-15 00:00:00+00:00,PHP,332,2186297.27,"EUROPE, MIDDLE EAST, ASIA & AFRICA",PHILIPPINES,348,48.068047,3,45483.38,95.4,137.0,130.7,2019,01,2019-01
PHEGA,2019-01-16 00:00:00+00:00,PHP,345,2288788.57,"EUROPE, MIDDLE EAST, ASIA & AFRICA",PHILIPPINES,348,48.068047,4,47615.59,99.14,138.02,136.83,2019,01,2019-01
PHEGA,2019-01-17 00:00:00+00:00,PHP,345,2262397.03,"EUROPE, MIDDLE EAST, ASIA & AFRICA",PHILIPPINES,348,48.068047,5,47066.55,99.14,136.42,135.25,2019,01,2019-01
PHEGA,2019-01-18 00:00:00+00:00,PHP,289,1684932.57,"EUROPE, MIDDLE EAST, ASIA & AFRICA",PHILIPPINES,348,48.068047,6,35053.07,83.05,121.29,100.73,2019,01,2019-01
PHEGA,2019-01-19 00:00:00+00:00,PHP,316,1827574.28,"EUROPE, MIDDLE EAST, ASIA & AFRICA",PHILIPPINES,348,48.068047,7,38020.56,90.8,120.32,109.25,2019,01,2019-01
PHEGA,2019-01-20 00:00:00+00:00,PHP,304,1910790.86,"EUROPE, MIDDLE EAST, ASIA & AFRICA",PHILIPPINES,348,48.068047,1,39751.79,87.36,130.76,114.23,2019,01,2019-01
PHEGA,2019-01-21 00:00:00+00:00,PHP,326,2134648.19,"EUROPE, MIDDLE EAST, ASIA & AFRICA",PHILIPPINES,348,48.068047,2,44408.88,93.68,136.22,127.61,2019,01,2019-01
PHEGA,2019-01-22 00:00:00+00:00,PHP,337,2294207.32,"EUROPE, MIDDLE EAST, ASIA & AFRICA",PHILIPPINES,348,48.068047,3,47728.32,96.84,141.63,137.15,2019,01,2019-01
PHEGA,2019-01-23 00:00:00+00:00,PHP,351,2433689.63,"EUROPE, MIDDLE EAST, ASIA & AFRICA",PHILIPPINES,348,48.068047,4,50630.09,100.86,144.25,145.49,2019,01,2019-01
PHEGA,2019-01-24 00:00:00+00:00,PHP,348,2325233.96,"EUROPE, MIDDLE EAST, ASIA & AFRICA",PHILIPPINES,348,48.068047,5,48373.8,100.0,139.01,139.01,2019,01,2019-01
PHEGA,2019-01-25 00:00:00+00:00,PHP,280,1778574.49,"EUROPE, MIDDLE EAST, ASIA & AFRICA",PHILIPPINES,348,48.068047,6,37001.18,80.46,132.15,106.33,2019,01,2019-01
PHEGA,2019-01-26 00:00:00+00:00,PHP,300,1881202.36,"EUROPE, MIDDLE EAST, ASIA & AFRICA",PHILIPPINES,348,48.068047,7,39136.23,86.21,130.45,112.46,2019,01,2019-01
PHEGA,2019-01-27 00:00:00+00:00,PHP,336,2209985.91,"EUROPE, MIDDLE EAST, ASIA & AFRICA",PHILIPPINES,348,48.068047,1,45976.2,96.55,136.83,132.12,2019,01,2019-01
