HTL_CD,STY_DT,CURR_CD,RM_NTS,RM_REV_AMT_LOC,REGION,COUNTRY,RMS_AVAIL,EXCH_RATE_AMT,CAL_DOW,CONVERTED_REV,OCCUPANCY,ADR,REV_PAR,YEAR,MONTH,YEAR_MONTH
UKPIL,2019-01-01T00:00:00Z,GBP,853,95246.41,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,3,127883.4,94.15,149.92,141.15,2019,1,2019-1
UKPIL,2019-01-02T00:00:00Z,GBP,900,91036.51,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,4,122230.95,99.34,135.81,134.91,2019,1,2019-1
UKPIL,2019-01-03T00:00:00Z,GBP,841,83663.87,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,5,112332.01,92.83,133.57,123.99,2019,1,2019-1
UKPIL,2019-01-04T00:00:00Z,GBP,677,67525.91,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,6,90664.24,74.72,133.92,100.07,2019,1,2019-1
UKPIL,2019-01-05T00:00:00Z,GBP,697,70125.75,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,7,94154.94,76.93,135.09,103.92,2019,1,2019-1
UKPIL,2019-01-06T00:00:00Z,GBP,497,52308.28,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,1,70232.16,54.86,141.31,77.52,2019,1,2019-1
UKPIL,2019-01-07T00:00:00Z,GBP,572,63273.21,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,2,84954.31,63.13,148.52,93.77,2019,1,2019-1
UKPIL,2019-01-08T00:00:00Z,GBP,602,68701.65,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,3,92242.86,66.45,153.23,101.81,2019,1,2019-1
UKPIL,2019-01-09T00:00:00Z,GBP,696,78081.69,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,4,104837.05,76.82,150.63,115.71,2019,1,2019-1
UKPIL,2019-01-10T00:00:00Z,GBP,668,71806.13,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,5,96411.11,73.73,144.33,106.41,2019,1,2019-1
UKPIL,2019-01-11T00:00:00Z,GBP,586,61284.71,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,6,82284.44,64.68,140.42,90.82,2019,1,2019-1
UKPIL,2019-01-12T00:00:00Z,GBP,524,55693.27,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,7,74777.04,57.84,142.7,82.54,2019,1,2019-1
UKPIL,2019-01-13T00:00:00Z,GBP,440,46670.77,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,1,62662.91,48.57,142.42,69.16,2019,1,2019-1
UKPIL,2019-01-14T00:00:00Z,GBP,575,62894.95,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,2,84446.44,63.47,146.86,93.21,2019,1,2019-1
UKPIL,2019-01-15T00:00:00Z,GBP,672,75146.53,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,3,100896.13,74.17,150.14,111.36,2019,1,2019-1
UKPIL,2019-01-16T00:00:00Z,GBP,713,80062.21,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,4,107496.21,78.7,150.77,118.65,2019,1,2019-1
UKPIL,2019-01-17T00:00:00Z,GBP,547,59903.4,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,5,80429.81,60.38,147.04,88.77,2019,1,2019-1
UKPIL,2019-01-18T00:00:00Z,GBP,625,64401.12,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,6,86468.71,68.98,138.35,95.44,2019,1,2019-1
UKPIL,2019-01-19T00:00:00Z,GBP,612,65036.12,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,7,87321.31,67.55,142.68,96.38,2019,1,2019-1
UKPIL,2019-01-20T00:00:00Z,GBP,567,60151.88,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,1,80763.43,62.58,142.44,89.14,2019,1,2019-1
UKPIL,2019-01-21T00:00:00Z,GBP,658,74776.83,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,2,100399.75,72.63,152.58,110.82,2019,1,2019-1
UKPIL,2019-01-22T00:00:00Z,GBP,880,117236.73,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,3,157408.89,97.13,178.87,173.74,2019,1,2019-1
UKPIL,2019-01-23T00:00:00Z,GBP,905,120566.21,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,4,161879.25,99.89,178.87,178.67,2019,1,2019-1
UKPIL,2019-01-24T00:00:00Z,GBP,894,101737.03,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,5,136598.09,98.68,152.79,150.77,2019,1,2019-1
UKPIL,2019-01-25T00:00:00Z,GBP,892,96461.14,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,6,129514.38,98.45,145.2,142.95,2019,1,2019-1
UKPIL,2019-01-26T00:00:00Z,GBP,894,96129.53,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,7,129069.13,98.68,144.37,142.46,2019,1,2019-1
UKPIL,2019-01-27T00:00:00Z,GBP,468,49167.73,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,1,66015.48,51.66,141.06,72.86,2019,1,2019-1
UKPIL,2019-01-28T00:00:00Z,GBP,557,58789.47,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,2,78934.19,61.48,141.71,87.12,2019,1,2019-1
UKPIL,2019-01-29T00:00:00Z,GBP,670,73517.08,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,3,98708.34,73.95,147.33,108.95,2019,1,2019-1
UKPIL,2019-01-30T00:00:00Z,GBP,662,71580.8,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,4,96108.57,73.07,145.18,106.08,2019,1,2019-1
UKPIL,2019-01-31T00:00:00Z,GBP,564,58794.28,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,5,78940.65,62.25,139.97,87.13,2019,1,2019-1
UKPIL,2019-02-01T00:00:00Z,GBP,596,59627.72,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,6,80059.67,65.78,134.33,88.37,2019,2,2019-2
UKPIL,2019-02-02T00:00:00Z,GBP,663,69511.79,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,7,93330.6,73.18,140.77,103.01,2019,2,2019-2
UKPIL,2019-02-03T00:00:00Z,GBP,500,51123.1,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,1,68640.87,55.19,137.28,75.76,2019,2,2019-2
UKPIL,2019-02-04T00:00:00Z,GBP,678,72678.0,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,2,97581.74,74.83,143.93,107.71,2019,2,2019-2
UKPIL,2019-02-05T00:00:00Z,GBP,865,96133.56,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,3,129074.55,95.47,149.22,142.47,2019,2,2019-2
UKPIL,2019-02-06T00:00:00Z,GBP,863,95466.25,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,4,128178.57,95.25,148.53,141.48,2019,2,2019-2
UKPIL,2019-02-07T00:00:00Z,GBP,677,70027.51,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,5,94023.04,74.72,138.88,103.78,2019,2,2019-2
UKPIL,2019-02-08T00:00:00Z,GBP,659,64771.14,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,6,86965.53,72.74,131.97,95.99,2019,2,2019-2
UKPIL,2019-02-09T00:00:00Z,GBP,775,78318.99,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,7,105155.66,85.54,135.68,116.07,2019,2,2019-2
UKPIL,2019-02-10T00:00:00Z,GBP,555,55532.07,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,1,74560.6,61.26,134.34,82.3,2019,2,2019-2
UKPIL,2019-02-11T00:00:00Z,GBP,596,62550.22,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,2,83983.58,65.78,140.91,92.7,2019,2,2019-2
UKPIL,2019-02-12T00:00:00Z,GBP,690,75834.76,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,3,101820.19,76.16,147.57,112.38,2019,2,2019-2
UKPIL,2019-02-13T00:00:00Z,GBP,679,73159.9,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,4,98228.76,74.94,144.67,108.42,2019,2,2019-2
UKPIL,2019-02-14T00:00:00Z,GBP,614,64360.14,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,5,86413.69,67.77,140.74,95.38,2019,2,2019-2
UKPIL,2019-02-15T00:00:00Z,GBP,682,68419.83,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,6,91864.47,75.28,134.7,101.4,2019,2,2019-2
UKPIL,2019-02-16T00:00:00Z,GBP,743,78025.12,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,7,104761.1,82.01,141.0,115.63,2019,2,2019-2
UKPIL,2019-02-17T00:00:00Z,GBP,575,58941.93,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,1,79138.88,63.47,137.63,87.35,2019,2,2019-2
UKPIL,2019-02-18T00:00:00Z,GBP,624,66402.81,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,2,89156.3,68.87,142.88,98.41,2019,2,2019-2
UKPIL,2019-02-19T00:00:00Z,GBP,709,78983.09,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,3,106047.33,78.26,149.57,117.05,2019,2,2019-2
UKPIL,2019-02-20T00:00:00Z,GBP,782,89505.39,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,4,120175.18,86.31,153.68,132.64,2019,2,2019-2
UKPIL,2019-02-21T00:00:00Z,GBP,806,84300.02,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,5,113186.15,88.96,140.43,124.93,2019,2,2019-2
UKPIL,2019-02-22T00:00:00Z,GBP,784,80087.42,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,6,107530.06,86.53,137.16,118.69,2019,2,2019-2
UKPIL,2019-02-23T00:00:00Z,GBP,732,78514.54,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,7,105418.21,80.79,144.01,116.36,2019,2,2019-2
UKPIL,2019-02-24T00:00:00Z,GBP,555,57950.1,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,1,77807.2,61.26,140.19,85.88,2019,2,2019-2
UKPIL,2019-02-25T00:00:00Z,GBP,831,89406.08,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,2,120041.84,91.72,144.45,132.5,2019,2,2019-2
UKPIL,2019-02-26T00:00:00Z,GBP,907,109732.37,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,3,147333.11,100.11,162.44,162.62,2019,2,2019-2
UKPIL,2019-02-27T00:00:00Z,GBP,902,108822.1,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,4,146110.92,99.56,161.99,161.27,2019,2,2019-2
UKPIL,2019-02-28T00:00:00Z,GBP,739,77842.44,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,5,104515.82,81.57,141.43,115.36,2019,2,2019-2
UKPIL,2019-03-01T00:00:00Z,GBP,805,77211.56,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906,0.744791,6,103668.76,88.85,128.78,114.42,2019,3,2019-3
