HTL_CD,STY_DT,CURR_CD,RM_NTS,RM_REV_AMT_LOC
EXIUS,2019-01-01T00:00:00Z,USD,13,1614.09
EXIUS,2019-01-02T00:00:00Z,USD,32,3798.63999999999
EXIUS,2019-01-03T00:00:00Z,USD,27,3001.05999999999
EXIUS,2019-01-04T00:00:00Z,USD,21,2408.18
EXIUS,2019-01-05T00:00:00Z,USD,25,2832.58
EXIUS,2019-01-06T00:00:00Z,USD,22,2894.12
EXIUS,2019-01-07T00:00:00Z,USD,46,5363.83999999999
EXIUS,2019-01-08T00:00:00Z,USD,56,6672.09999999999
EXIUS,2019-01-09T00:00:00Z,USD,50,5911.02999999999
EXIUS,2019-01-10T00:00:00Z,USD,37,3890.28999999999
EXIUS,2019-01-11T00:00:00Z,USD,26,2373.93999999999
EXIUS,2019-01-12T00:00:00Z,USD,35,3749.92999999999
EXIUS,2019-01-13T00:00:00Z,USD,28,3233.09999999999
EXIUS,2019-01-14T00:00:00Z,USD,57,6496.62999999999
EXIUS,2019-01-15T00:00:00Z,USD,58,6513.47999999999
EXIUS,2019-01-16T00:00:00Z,USD,59,6680.55999999999
EXIUS,2019-01-17T00:00:00Z,USD,35,3704.39999999999
EXIUS,2019-01-18T00:00:00Z,USD,34,3549.94999999999
EXIUS,2019-01-19T00:00:00Z,USD,39,3903.58999999999
EXIUS,2019-01-20T00:00:00Z,USD,20,2076.6
EXIUS,2019-01-21T00:00:00Z,USD,40,4429.02999999999
EXIUS,2019-01-22T00:00:00Z,USD,55,6005.08999999999
EXIUS,2019-01-23T00:00:00Z,USD,55,6042.92999999999
EXIUS,2019-01-24T00:00:00Z,USD,46,4897.23999999999
EXIUS,2019-01-25T00:00:00Z,USD,47,4806.18690265499
EXIUS,2019-01-26T00:00:00Z,USD,43,4598.74690265499
EXIUS,2019-01-27T00:00:00Z,USD,28,3085.54999999999
EXIUS,2019-01-28T00:00:00Z,USD,53,5983.99999999999
EXIUS,2019-01-29T00:00:00Z,USD,58,6520.59999999999
EXIUS,2019-01-30T00:00:00Z,USD,57,6413.61999999999
EXIUS,2019-01-31T00:00:00Z,USD,35,4105.11999999999
EXIUS,2019-02-01T00:00:00Z,USD,49,5322.35999999999
EXIUS,2019-02-02T00:00:00Z,USD,36,4038.31999999999
EXIUS,2019-02-03T00:00:00Z,USD,29,3381.46999999999
EXIUS,2019-02-04T00:00:00Z,USD,48,5855.31999999999
EXIUS,2019-02-05T00:00:00Z,USD,56,6823.52999999999
EXIUS,2019-02-06T00:00:00Z,USD,59,6865.98999999999
EXIUS,2019-02-07T00:00:00Z,USD,34,3956.08999999999
EXIUS,2019-02-08T00:00:00Z,USD,41,4546.74999999999
EXIUS,2019-02-09T00:00:00Z,USD,19,2020.15
EXIUS,2019-02-10T00:00:00Z,USD,16,1809.65
EXIUS,2019-02-11T00:00:00Z,USD,45,5456.58999999999
EXIUS,2019-02-12T00:00:00Z,USD,39,4754.75999999999
EXIUS,2019-02-13T00:00:00Z,USD,37,4526.87999999999
EXIUS,2019-02-14T00:00:00Z,USD,30,3711.23999999999
EXIUS,2019-02-15T00:00:00Z,USD,22,2541.81999999999
EXIUS,2019-02-16T00:00:00Z,USD,29,3294.76999999999
EXIUS,2019-02-17T00:00:00Z,USD,24,2883.79999999999
EXIUS,2019-02-18T00:00:00Z,USD,37,4578.62999999999
EXIUS,2019-02-19T00:00:00Z,USD,55,6550.67999999999
EXIUS,2019-02-20T00:00:00Z,USD,55,6696.38999999999
EXIUS,2019-02-21T00:00:00Z,USD,53,6354.17999999999
EXIUS,2019-02-22T00:00:00Z,USD,28,3016.17999999999
EXIUS,2019-02-23T00:00:00Z,USD,25,2869.08999999999
EXIUS,2019-02-24T00:00:00Z,USD,22,2611.72
EXIUS,2019-02-25T00:00:00Z,USD,60,7223.73999999999
EXIUS,2019-02-26T00:00:00Z,USD,62,7717.81999999999
EXIUS,2019-02-27T00:00:00Z,USD,63,7699.25999999999
EXIUS,2019-02-28T00:00:00Z,USD,42,4783.85999999999
EXIUS,2019-03-01T00:00:00Z,USD,46,4541.25999999999
EXIUS,2019-03-02T00:00:00Z,USD,28,3141.52999999999
EXIUS,2019-03-03T00:00:00Z,USD,25,3005.26999999999
EXIUS,2019-03-04T00:00:00Z,USD,54,6708.61999999999
EXIUS,2019-03-05T00:00:00Z,USD,59,7299.63999999999
EXIUS,2019-03-06T00:00:00Z,USD,55,6776.04
EXIUS,2019-03-07T00:00:00Z,USD,38,4696.85999999999
EXIUS,2019-03-08T00:00:00Z,USD,30,3613.97999999999
EXIUS,2019-03-09T00:00:00Z,USD,22,2659.15999999999
EXIUS,2019-03-10T00:00:00Z,USD,21,2679.24999999999
EXIUS,2019-03-11T00:00:00Z,USD,51,6669.38
EXIUS,2019-03-12T00:00:00Z,USD,60,7853.72999999999
EXIUS,2019-03-13T00:00:00Z,USD,61,7902.07999999999
EXIUS,2019-03-14T00:00:00Z,USD,58,8020.75999999999
EXIUS,2019-03-15T00:00:00Z,USD,59,8526.55999999999
EXIUS,2019-03-16T00:00:00Z,USD,54,7674.67999999999
